Date,Time,Obs,Qflag,Tree,Age Class,SLA,Na,Pa,Press,PARi,Cond,Ci,Photo,Trmmol,VpdL,StmRat,BLCond,Tair,TBlk,Tleaf,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow
13/02/2002,14:43,26.5,1,5,1,4.769,2.709,0.399,87.7125,1500,0.451,258.25,18.1,4.37,0.9535,1,2.84,25.145,25.2225,25.3325,359.875,336.45,20.9995,26.10325,57.4425,71.3975,500.3
13/02/2002,14:31,10.5,1,5,1,4.536,2.871,0.331,87.72,250,0.311,300.25,8.0625,2.55,0.77625,1,2.84,24.77,25.0725,23.66,360.975,350.25,21.624,24.61125,60.485,68.8475,499.525
13/02/2002,15:03,ac3,1,6,1,4.315,3.182,0.317,87.73,1500,0.410714286,261.5714286,16.08571429,5.187142857,1.222857143,1,2.84,27.49714286,27.65285714,27.3,360.3714286,338.9571429,21.52071429,27.57028571,51.23571429,65.63571429,500.0428571
13/02/2002,15:55,18.5,0,6,1,4.176,3.089,0.373,87.7,200,0.386,313,7.003333333,3.72,0.933,1,2.84,25.06,25.26,23.795,360.8,350.75,18.715,23.0915,51.49,63.515,500.5666667
13/02/2002,16:14,38.5,1,5,1,4.031,3.159,0.331,87.665,200,0.24075,292.5,7.3875,2.1125,0.81325,1,2.84,23.2625,23.445,21.9225,359.825,350.05,18.36775,20.852,56.205,63.8075,499.95
13/02/2002,16:20,46.5,1,5,1,4.755,3.059,0.376,87.66,200,0.2715,302,6.83,2.415,0.8315,1,2.84,23.16,23.355,22.135,360.175,350.925,18.20625,21.041,56.085,64.81,499.55
13/02/2002,17:20,18.5,1,6,1,4.661,2.597,0.251,87.6725,1500,0.26325,244.25,13.325,5.495,1.925,1,2.84,30.505,30.845,30,360.35,342.15,20.22825,26.64275,40.44,53.265,500.375
13/02/2002,17:26,26.5,1,6,1,3.869,2.554,0.258,87.6725,1500,0.209,226,12.975,4.93,2.1375,1,2.84,31.155,31.5325,30.6275,360.475,342.85,20.26325,26.02225,39.0325,50.1275,500.425
13/02/2002,17:35,34.5,1,6,1,4.228,1.633,0.189,87.67,1500,0.35025,249.25,15.925,6.3625,1.7225,1,2.84,30.49,31.0025,29.6125,360.65,338.95,20.45575,27.8775,40.9325,55.7825,500.2
13/02/2002,17:45,42.5,1,6,1,3.919,2.247,0.225,87.665,1500,0.298,247,14.35,5.9825,1.8725,1,2.84,31.025,31.495,30.1075,360.525,341,20.5675,27.5465,39.9125,53.455,500.2
